IsStance,marker,sentence
,key,"The product quality traceability information system being built to cover 8 processes and 16 links in the whole industry chain, achieving 100 coverage of key quality traceability information in the industry chain."
,key,"Board of Directors Sustainable Development Committee Sustainable Development Executive Committee Secretariat of the Sustainable Development Executive Committee Governance- Sustainability strategic pillar Day- to- day management meeting mechanism Responsibility- Common Prosperity strategic pillar Work planning mechanism Environment- Carbon Net- Zero strategic pillar Open communication mechanism for information exchange Ecosystem- Collaborative & Accountable strategic pillar Monitoring and evaluation mechanism Nutrition- Supreme & Inclusive strategic pillar Funding support mechanismDecision- making Decision- making on the Group's sustainability strategy Management Managing and advancing key sustainability issues Execution Implement sustainability programs, conduct sustainable development project in the respective departments and report the results Departments and Divisions Appointment of 46 sustainability officers and liaisonsDecision-Making Management ExecutionAs of the reporting time, Mengniu's Sustainable Development Committee comprises three executive directors (Mr. Lu Minfang, Ms. Wang Yan, Mr. Zhang Ping), a non- executive director (Mr. Simon Dominic Stevens), and an independent non- executive director (Mr. Li Michael Hankin), with Mr. Simon Dominic Stevens as the chair."
,key,"The process of materiality analysis is as follows Establish the Company's library of sustainabilty topics based on its strategic priorities, industry characteristics and social responsibility standards; Survey key stakeholders such as shareholders, consumers, suppliers and communities to identify their sustainability concerns; Select material topics in light of the Global Sustainable Development Goals, stakeholder concems and importance to Mengniu; Determine the material topics based on review by the Company's Sustainability Committee and experts."
,key,"Risk Management Mengniu values risk management and internal control, and has established risk management framework and fundamental norms with a focus on the Group's major risk management and control and the continuous optimisation of the risk management model. Following the internationally accepted COSO1 risk management framework, the Company established a risk- oriented, closed- loop management model of risk identification first, business self- management, audit supervision and follow- up based on the operating and management needs of Mengniu. This incorporates risk management into business and applies to the business management process and gives full play to its value. Mengniu has established the Mengniu Risk Management System and six implementation rules on risk identification, risk evaluation, risk response, risk monitoring, risk response appraisal and risk management report. In 2021, the Company optimised the Mengniu Risk Management Framework and Manual for Risk Management of the Group on this basis, to ensure the effective operation of the risk management system. Mengniu has put in place three lines of defence of risk management organisation structure under the leadership of the Board. The Risk Management Committee is the highest deliberative and decision- making body for risk management, in which the chief executive officer of the Group serves as the chairman, and the vice president of the Group who is in charge of risk control and auditing business serves as the deputy chairman, while the committee members comprise the head of the major business divisions and functional departments. The Risk Management Department is the body for daily affairs designated by the Risk Management Committee that reports the management and control of important risks and the operational effectiveness of the risk management system to the Audit Committee under the Board every year on a regular basis, and under the supervision of the Audit Committee. In 2021, the Company organised business departments and functional departments to adopt a three- level evaluation method of self- identification of major business, professional pre- judgment and control of TOP20 risks, and collective review of Risk Management Committee focusing on formulating a new Mengniu strategic plan and key work goals, and assess major risks from the seven aspects of group strategy, market, finance, operation, law and compliance, quality and food safety, sustainable development on which the Risk Management Committee reached a consensus. In order to promote the effective implementation of major risk management and control, and clarify main responsible department and person, Mengniu implements the accountability system. The risk management department has formulated appropriate risk response strategies, measures or contingency plans and follow- up to supervise the response effect in the process of classification, to reduce and avoid the adverse impact of important risks on the Group's strategic goals and sustainable development in an effective manner. 1 COSO Committee of Sponsoring Organisations of the Treadway CommissionThree Lines of Defences of Risk Management Organisation Structure Business divisions The first line of defence The second line of defence The third line of defenceRisk Management Committee, Risk Management Department and functional departments of the GroupThe Internal Audit Department and the Discipline Inspection Department Respondent and main responsible person of riskPlanners and supervisors of risk managementAppraiser of risk management effectivenessMengniu has taken multiple measures at four levels to carry out empowerment training on risk management concepts and methods, promoted the extensive implementation of risk management mechanisms, and improved employees' risk management awareness and prevention and control standards, gradually cultivating a risk culture, and reasonably ensuring the achievement of strategic goals. Risk Management Empowerment Training Management Grassroots Management Personnel Full-time and Part-time Risk Management PersonnelCore Middle-level Management Personnel New Employees 10 core management members participated in the major risk assessment at group level and implemented the main responsibility for risk response; The management reviewed and approved the major risk response strategies at the group level, made timely decisions for resolving cross- departmental issues and problems such as difficulties to be implemented during the process, to ensure the effectiveness of risk management implementation; The management listened to the effectiveness of the management and control of major risks in the previous year and put forward guiding opinions to promote the improvement of risk management. Training on basic norms of internal control 17 sessions of training on internal control were organised to consolidate the theoretical foundation of risk management personnel and grass- roots management personnel, more than 2, 500 personnel participated online and offline, and the Worth- It platform was launched with clicks exceeding 80, 000; Training on professional knowledge of risk management Based on the training needs of each unit, a total of more than 380 people from China Shengmu, Fuyuan Farming, and China Dairy Industrial Park have been offered risk empowerment training. The Company communicated and advocated risk management concepts on the Group's major risk management and control with 45 core middle- level management personnel by way of one- to- one communication and reporting, to unify risk management cognition, identify other risks in important business areas and key business links and provide professional assessment opinions for major risks annual identification. A risk management training course was developed for new employees as a compulsory course on risk management for new employees and promoted on the Worth- It platform with 2, 880 participants in total. 21 22 CEO's Statement A Message from the BoardAbout Mengniu Corporate Culture GREEN Sustainable Development Strategy2021 HIGHLIGHTS Governance- SustainabilityResponsibility- Common ProsperityEnvironment- Carbon Net- ZeroEcosystem- Collaborative & AccountableNutrition- Supreme & InclusiveAppendix"
,key,"Business Ethics The Company strictly complied with the Civil Code of the People's Republic of China, the Criminal Law of the People's Republic of China, the Supervision Law of the People's Republic of China, the Company Law of the People's Republic of China, the Anti- Monopoly Law of the People's Republic of China, the Anti- Money Laundering Law of the People's Republic of China, the Anti- Unfair Competition Law of the People's Republic of China, the Labor Contract Law of the People's Republic of China, the Environmental Protection Law of the People's Republic of China and other laws and regulations. The Company values the construction of business ethics and integrity and compliance, and has formulated and released the Group's Compliance Management Regulations, Integrity and Compliance Manua l and management regulations and guidelines for key areas such as corporate governance, anti- monopoly, anti- bribery and business partners. Meanwhile, the Company formulated detailed anti- corruption policies and joined the UNGC in 2021 in compliance with international anti- corruption initiative. The Company has established a sound compliance management mechanism in key areas of business ethics, and advocates integrity and compliance culture, so as to build a sound business ethics management and supervision framework, improve business ethics standards and establish a sound ecosystem. The Company vigorously conducts compliance and audit supervision of business ethics, opens compliance consultation and complaint reporting channels, and strictly investigates violations of laws and regulations. Code of Conduct of Business Ethics of Mengniu Integrity and Compliance Manual It provides basic behavior guidelines for business management behaviors and business activities of the Company and all employees, and elaborates the basic requirements and cultural background of integrity and compliance between consumers, partners, shareholders, society, colleagues and the Company, and the Integrity and Compliance Commitment was signed. Compliant Business Partners It establishes a sound business partner ecosystem and a complete anti- bribery compliance management mechanism to learn and pass on the Compliance Code of Conduct of Business Partners and convey Mengniu Group's compliance standards, philosophy and culture. Anti-bribery The Group adopts zero tolerance to any form of bribery and corruption, and has established sound anti- bribery compliance management mechanism, signed the Anti- bribery Compliance Commitment and the Anti- corruptionAgreement when signing business contracts with third parties, which strictly prohibits any form of financial and non- financial benefits, including gifts, rebates, and employment opportunities that may appear in cooperation. Anti-unfair Competition It strictly regulates the internal management work in close relation to market economic activities such as contract management, advertising review and marketing management, requires the compliance with relevant laws and regulations, and ensures that business activities are compliant with relevant provisions of the Anti- Unfair Competition Law of the People's Republic of China. Anti-monopoly Adhering to the principle of fair competition, it establishes a sound anti- monopoly compliance management mechanism and signed the Anti- monopoly Compliance Commitment to avoid direct or indirect engagement in monopolistic behaviors expressly prohibited by laws and regulations, including but not limited to reaching monopoly agreements with other operators, abuse of dominant market position and the implementation of business operator concentration that has or may have the effect of eliminating or restricting competition, among others. 16 Honesty and Self-discipline Codes for Management 1. Unreveal of company secrets; 2. no damage to corporate image; 3. no occupation of corporate property; 4. no misappropriation of corporate funds; 5. no bribery; 6. no cheat; 7. no non- compliant guarantee; 8. no small exchequer; 9. no acceptance of gift from partners; 10. no borrowings from partners and subordinates; 11. no acceptance of invitation or travel, fitness, entertainment and other arrangement that may affect impartial performance; 12. no non- compliant referral or promotion of business and products to cooperators and management served; 13. no appointment of relatives within scope of authority or arrange the appointment of relatives taking use of power or influence in positions; 14. no business with relatives; 15. no illegal part- time job; 16. no involvement of pornography gambling. Avoidance of Conflict of Interests The management personnel shall not take profits for relatives or specific connected persons taking use of job convenience or arrange relatives to serve within their authority. Affiliates of relatives of management personnel and key business personnel (including specific connected persons) must not participate in equity investment or have business dealings with partners within his or her authority, failure of which, they will be listed in the blacklists of the partners."
,key,"Under the principle of strategic guidance, prominent focus, risk orientation, and comprehensive coverage, the Group actively carries out compliance management and audit supervision in key areas such as sales management, supply chain management, and functional support, and conducts supervision and rectification of identified problems."
,key,The Group issued work reminders to 83 key personnel based on daily work and clarified 8 false reports accepted.
,key,"In addition, the Company has enhanced the building of an integrity culture, carried out publicity activities on an ongoing basis, and paid close attention to major festivals to conduct integrity warning training for key areas and key positions with a view to creating an integrate and upright atmosphere within the Company."
,key,"Total sessions of training on business ethics for employees Total sessions of anti- corruption training (warning education on integrity) for employees Total sessions of training on anti- commercial bribery for employeesTotal number of employees accepted anti- corruption training (warning education on integrity) Total number of employees accepted training on anti- commercial briberyTotal number of employees accepted training on business ethics Time Time TimePerson Person PersonIndicators for Training on Business Ethics 211 194 944, 167 44, 001 34, 181 Total sessions of training on business ethics for employees Time 211 Total number of employees accepted training on business ethics Person 44, 167 Classification by hierarchy Number of senior management employees accepted training on business ethics Person 19 Number of middle- level management employees accepted training on business ethics Person 3, 019 Number of general employees accepted training on business ethics Person 41, 129 Total sessions of anti- corruption training (warning education on integrity) for employees Time 194 Total number of employees accepted anti- corruption training (warning education on integrity) Person 44, 001 Number of senior management employees accepted anti- corruption training (warning education on integrity)Person 19 Number of middle- level management employees accepted anti- corruption training (warning education on integrity)Person 2, 853 Number of general employees accepted anti- corruption training (warning education on integrity) Person 41, 129 Number of cadres accepted anti- corruption and other training (warning education on integrity) Person 2, 968 Number of employees in key positions accepted anti- corruption and other training (warning education on integrity)Person 1, 497 Total sessions of training on anti- commercial bribery for employees Time 9 Total number of employees accepted training on anti- commercial bribery Person 34, 181 Classification by hierarchy Number of senior management employees accepted training on anti- commercial bribery Person 19 Number of middle- level management employees accepted training on anti- commercial bribery Person 3, 019 Number of general employees accepted training on anti- commercial bribery Person 31, 143 27 28 CEO's Statement A Message from the BoardAbout Mengniu Corporate Culture GREEN Sustainable Development Strategy2021 HIGHLIGHTS Governance- SustainabilityResponsibility- Common ProsperityEnvironment- Carbon Net- ZeroEcosystem- Collaborative & AccountableNutrition- Supreme & InclusiveAppendix"
,key,"Elite professional talent trainingBased on business needs and focusing on key talents such as milk source front- end, quality, technology and sales terminal, a comprehensive professional sequence was built to improve the professional curriculum system, improve professional capabilities, cultivate high- quality professional talents, and achieve endogenous growth of talents."
