IsStance,marker,sentence
,key,Materiality The report has identified key stakeholders and their ESG topics in the preparation process and making targeted disclosures in this report according to the relative importance of their concerns.
,key,Quantitative This report adopts quantitative information to disclose the key performance indicators ( KPI ) in the environmental and social aspects.
,key,"Through the efforts of recent years, Mengniu has gradually established an ESG management system, clarified the ESG strategic path, continuously improved ESG key issues, and formed a cross-organizational and departmental force for sustainable development."
,key,"In 2022, in order to better promote the implementation of the strategy, the secretariat of the Sustainability Development Executive Committee worked closely with various departments to refine each of the 28 strategic actions, clarify the main responsible departments and cooperating departments, as well as the overall objectives, annual objectives and key initiatives of each action in the next three years, so as to ensure the implementation of the GREEN strategy."
,key,"Mengniu joined the Consumer Goods Forum (CGF) and actively participated in promoting key issues in the consumer goods industry such as food safety, social and environmental sustainability, health, and end-to-end value chain, contributing Chinese wisdom to the sustainable development of the consumer goods industry."
,key,"The Company invested more than 200 million in ecological and environmental protection, completed 21 key environmental protection renovation projects, and supervised the discharge of pollutants in 38 sewage treatment plants of the Group to meet the sewage discharge standards."
,key,"In response to the ESG key topics of the Company, the Group formed a cross-departmental special working group to promote effective improvement of the topics."
,key,"Board of Directors Sustainable Development CommitteeConsists of the highest decision-making level of the Company and is responsible for considering the Company's sustainable development strategies, objectives and risks Sustainable Development Executive CommitteeConsists of core executives and is responsible for sustainable development management and strategy advancement, overseeing strategy execution Secretariat of the Sustainable Development Executive CommitteeResponsible for coordinating ESG daily work and promoting the implementation of the Group's ESG strategy Working Groups on Key TopicsResponsible for overall planning and coordination of management of key topics and report the progress of the work every six months to the Sustainable Development Executive CommitteeSustainable Development Promotion O ceConsists of sustainability develop- ment o cers and liaison o cers of each department, undertakes the requirements of sustainable development work, formulates corresponding work and plans in the department, and implements corporate strategy"
,key,"At the beginning of 2023, Mengniu held the Sustainable Development Conference, where the Sustainable Development Executive Committee listened to the ESG work report for 2022 and the work plan for 2023, and made decisions on key sustainable development issues."
,key,"Identi cation of Material TopicsThrough communication interviews, questionnaires and other forms, we can better understand the key concerns of stakeholders."
,key,"The Company sorted out key business areas and key management modules from the three perspectives that are strategy, operation and support, combined with the principle of key control important risks effective coverage, coordinated planning of key work, and carried out audit supervision."
,key,"The Company focuses on anti-commercial compliance as a key compliance area, actively conducts comprehensive compliance risk assessment work."
,key,"In terms of anti-commercial bribery compliance training, the Company focused on more than 600 key personnels in the field of anti-commercial bribery compliance management, and conducted special compliance points empowerment training."
,key,"In 2022, Mengniu launched 22 online and offline compliance training sessions targeting all employees, managers, senior management, and new employees, covering key areas of risk management such as integrity, anti-monopoly, anti-commercial bribery, senior management duties, personal information protection, business partner compliance, and insider information compliance, with a cumulative learning volume of 550, 000 times of people participation."
,key,"In 2022, the Company conducted 20 sessions of integrity education for middle and senior key personnel management personnel, covering 1, 177 times of people participation; For grassroots employees, the Company provided warning and education at every meeting and conducted 120 sessions of integrity warning and education through pre-shift meetings, work meetings and internal propaganda, covering more than 43, 000 people, with a 100 coverage rate; In addition, the Company carried out integrity education for 9, 050 family members of management personnel and 4, 388 partners, which effectively strengthened the integrity awareness of family members of management personnel and partners, and reduced the number of violations of rules and regulations in this year."
,key,"Integrity education for key middle and senior positions20 sessions times of people participation 1, 177 Integrity education for junior level employeescoverage120 sessions 100 Number of family members of management personnel participated in integrity education Number of partners participated in integrity education9, 050 family members partners 4, 388Governance- Sustainability"
